Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.jallcom.2021.160027,2021,Na0.67Y0.1Mn0.67Ni0.23O2,NMY-10,900.0,12.0,Cycling performance,60.0,,69.3,,0.05,2.0,4.5,"{'Na': '0.67', 'Y': '0.1', 'Mn': '0.67', 'Ni': '0.23', 'O': '2'}"
10.1016/j.jallcom.2019.152581,2020,O3-NaZr0.05Ti0.2Mn0.3Ni0.45O2,NaNMTZ5,950.0,12.0,Rate performance,,141.4,,,0.05,2.0,4.0,"{'Na': '1', 'Zr': '0.05', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.45', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Bi0.33O2,,750.0,12.0,Cycling performance,50.0,,91.0,,0.05,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Bi': '0.33', 'O': '2'}"
10.1016/j.jallcom.2019.152581,2020,O3-NaZr0.05Ti0.2Mn0.3Ni0.45O2,NaNMTZ5,950.0,12.0,Cycling performance,200.0,139.7,,,0.05,,,"{'Na': '1', 'Zr': '0.05', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.45', 'O': '2'}"
10.1016/j.jallcom.2019.152581,2020,O3-NaZr0.05Ti0.2Mn0.3Ni0.45O2,NaNMTZ5,950.0,12.0,Cycling performance,1.0,141.4,,,0.05,,,"{'Na': '1', 'Zr': '0.05', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.45', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Bi0.33O2,,750.0,12.0,Rate performance,,106.0,,,0.05,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Bi': '0.33', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Bi0.33O2,,750.0,12.0,Cycling performance,1.0,90.0,,,0.05,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Bi': '0.33', 'O': '2'}"
10.1016/j.electacta.2020.135644,2020,NaNi0.67Bi0.33O2,,,,Rate performance,,51.3,,,0.05,,,"{'Na': '1', 'Ni': '0.67', 'Bi': '0.33', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,50.0,172.0,,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1016/j.jallcom.2019.152581,2020,O3-NaZr0.05Ti0.2Mn0.3Ni0.45O2,NaNMTZ5,950.0,12.0,Cycling performance,200.0,,98.8,,0.05,,,"{'Na': '1', 'Zr': '0.05', 'Ti': '0.2', 'Mn': '0.3', 'Ni': '0.45', 'O': '2'}"
10.1039/c6ta08661f,2016,NaNi0.67Bi0.33O2,,750.0,12.0,Cycling performance,1.0,109.0,,,0.05,2.0,4.0,"{'Na': '1', 'Ni': '0.67', 'Bi': '0.33', 'O': '2'}"
10.1016/j.jallcom.2021.160027,2021,P2-Na0.67Mn0.67Ni0.33O2,NM,900.0,12.0,Rate performance,,116.5,,,0.05,2.0,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.jelechem.2023.117222,2023,Na0.9Mn0.45Fe0.5Ni0.05O2,NFNM,,,Rate performance,,148.0,,,0.05,1.9,4.2,"{'Na': '0.9', 'Mn': '0.45', 'Fe': '0.5', 'Ni': '0.05', 'O': '2'}"
10.1016/j.jallcom.2022.166444,2022,O3-NaMn0.3Co0.18Ni0.5Al0.02O2,NaNMC,900.0,8.0,Rate performance,,120.0,,,0.05,2.7,4.0,"{'Na': '1', 'Mn': '0.3', 'Co': '0.18', 'Ni': '0.5', 'Al': '0.02', 'O': '2'}"
10.1039/c2cp44467d,2012,P2-Na0.67Mn0.67Ni0.33O2,,900.0,14.0,Rate performance,,89.0,,,0.05,2.3,4.5,"{'Na': '0.67', 'Mn': '0.67', 'Ni': '0.33', 'O': '2'}"
10.1016/j.ensm.2021.04.007,2021,P2-Na0.66Li0.22Mn0.78Sn0.01O2,NLMSO,,,Cycling performance,50.0,,87.2,,0.05,1.5,4.5,"{'Na': '0.66', 'Li': '0.22', 'Mn': '0.78', 'Sn': '0.01', 'O': '2'}"
10.1039/c6ra06785a,2016,O3-NaMn0.4Co0.2Ni0.4O2,,800.0,8.0,Cycling performance,1.0,150.0,,,0.05,2.2,3.8,"{'Na': '1', 'Mn': '0.4', 'Co': '0.2', 'Ni': '0.4', 'O': '2'}"
