Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Cycling performance,1.0,81.3,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Cycling performance,1.0,67.3,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Cu0.3O2,,900.0,15.0,Cycling performance,1.0,76.0,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Cu': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,1.0,85.6,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Cycling performance,1.0,85.8,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Cycling performance,1.0,70.0,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Cu0.3O2,,900.0,15.0,Cycling performance,1.0,53.9,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Cu': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,1.0,84.2,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Rate performance,,154.9,,50.0,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Rate performance,,47.5,,2000.0,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Rate performance,,85.2,,50.0,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Rate performance,,85.9,,50.0,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Cycling performance,1000.0,43.8,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Cycling performance,1.0,85.9,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67MnO2,,900.0,15.0,Cycling performance,1000.0,,51.0,,,2.0,4.0,"{'Na': '0.67', 'Mn': '1', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Cycling performance,1000.0,49.9,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.3O2,,900.0,15.0,Cycling performance,1000.0,,71.3,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Cu0.3O2,,900.0,15.0,Cycling performance,1000.0,46.0,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Cu': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Cu0.3O2,,900.0,15.0,Cycling performance,1.0,54.4,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Cu': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Cu0.3O2,,900.0,15.0,Cycling performance,1000.0,,84.6,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Cu': '0.3', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,1000.0,74.1,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,1.0,84.1,,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,1000.0,,88.1,,,2.0,4.0,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Cycling performance,50.0,,84.0,,,0.1,3.5,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147105,2020,Na0.67Mn0.7Ni0.15Cu0.15O2,,900.0,15.0,Rate performance,,74.1,,1000.0,,0.1,3.5,"{'Na': '0.67', 'Mn': '0.7', 'Ni': '0.15', 'Cu': '0.15', 'O': '2'}"
10.1016/j.apsusc.2020.147695,2021,NaMn0.35Co0.05Ni0.6O2,NMC,900.0,12.0,Cycling performance,1.0,151.0,,,0.1,1.5,3.6,"{'Na': '1', 'Mn': '0.35', 'Co': '0.05', 'Ni': '0.6', 'O': '2'}"
10.1016/j.apsusc.2020.147695,2021,NaMn0.35Co0.05Ni0.6O2,NMC,900.0,12.0,Cycling performance,120.0,83.0,,,0.1,1.5,3.6,"{'Na': '1', 'Mn': '0.35', 'Co': '0.05', 'Ni': '0.6', 'O': '2'}"
