Doi,Year,Name,Abbreviation,Sintering temperature,Sintering time,Category,Cycle,Capacity,Retention,Current: mAg-1,Current: C,Voltage lower limit,Voltage upper limit,Elements
10.1039/d2qi01018f,2022,P2/O3-Na0.7Li0.1Mn0.6Fe0.2Ni0.1O2,LN,900.0,12.0,Cycling performance,1.0,137.0,,,0.1,2.5,4.3,"{'Na': '0.7', 'Li': '0.1', 'Mn': '0.6', 'Fe': '0.2', 'Ni': '0.1', 'O': '2'}"
10.1016/j.ensm.2022.06.035,2022,NaTi0.2Mn0.2Fe0.2Ni0.3Cu0.1O2,NCNFMT,1250.0,5.0,Cycling performance,100.0,130.0,,13.0,0.1,2.0,3.9,"{'Na': '1', 'Ti': '0.2', 'Mn': '0.2', 'Fe': '0.2', 'Ni': '0.3', 'Cu': '0.1', 'O': '2'}"
10.1039/d2qi01018f,2022,P2/O3-Na0.7Li0.1Mn0.6Fe0.2Ni0.1O2,LN,900.0,12.0,Cycling performance,500.0,,74.6,,0.1,2.5,4.3,"{'Na': '0.7', 'Li': '0.1', 'Mn': '0.6', 'Fe': '0.2', 'Ni': '0.1', 'O': '2'}"
10.1016/j.matchar.2021.111078,2021,P2-Na0.66Mn0.56Ni0.33Al0.11O2,,950.0,2.0,Rate performance,,184.0,,,0.1,1.5,4.5,"{'Na': '0.66', 'Mn': '0.56', 'Ni': '0.33', 'Al': '0.11', 'O': '2'}"
10.1016/j.matchar.2021.111078,2021,P2-Na0.66Mn0.56Ni0.33Al0.11O2,,950.0,2.0,Cycling performance,30.0,,43.0,,0.1,1.5,4.8,"{'Na': '0.66', 'Mn': '0.56', 'Ni': '0.33', 'Al': '0.11', 'O': '2'}"
10.1016/j.apt.2019.10.010,2020,P2-Na0.67Mn0.5Fe0.5O2,,,,Cycling performance,1.0,217.9,,,0.1,,,"{'Na': '0.67', 'Mn': '0.5', 'Fe': '0.5', 'O': '2'}"
10.1016/j.jpowsour.2019.226760,2019,NaCr0.8Mn0.2O2,,1000.0,20.0,Rate performance,,103.0,,,0.1,2.0,3.8,"{'Na': '1', 'Cr': '0.8', 'Mn': '0.2', 'O': '2'}"
10.1039/d2qi01018f,2022,P2/O3-Na0.7Li0.1Mn0.6Fe0.2Ni0.1O2,LN,900.0,12.0,Cycling performance,100.0,,85.4,,0.1,2.5,4.3,"{'Na': '0.7', 'Li': '0.1', 'Mn': '0.6', 'Fe': '0.2', 'Ni': '0.1', 'O': '2'}"
10.1016/j.jpowsour.2019.226760,2019,NaCr0.8Mn0.2O2,,1000.0,20.0,Rate performance,,98.0,,,0.1,2.0,3.8,"{'Na': '1', 'Cr': '0.8', 'Mn': '0.2', 'O': '2'}"
10.1016/j.jpowsour.2019.226760,2019,NaCr0.8Mn0.2O2,,1000.0,20.0,Cycling performance,100.0,,90.0,,0.1,2.0,3.8,"{'Na': '1', 'Cr': '0.8', 'Mn': '0.2', 'O': '2'}"
10.1016/j.jpowsour.2019.226760,2019,NaCrO2,,1000.0,20.0,Cycling performance,100.0,,30.0,,0.1,2.0,3.8,"{'Na': '1', 'Cr': '1', 'O': '2'}"
10.1016/j.electacta.2015.02.043,2015,NaLi0.2Mn0.8O2,,730.0,20.0,Cycling performance,40.0,,78.0,,0.1,1.5,4.5,"{'Na': '1', 'Li': '0.2', 'Mn': '0.8', 'O': '2'}"
10.1016/j.electacta.2015.02.043,2015,NaLi0.2Mn0.8O2,,730.0,20.0,Cycling performance,1.0,200.0,,,0.1,1.5,4.5,"{'Na': '1', 'Li': '0.2', 'Mn': '0.8', 'O': '2'}"
10.1016/j.electacta.2016.04.067,2016,Na0.67Mn0.4Co0.2Ni0.4O2,,900.0,10.0,Rate performance,,124.0,,,0.1,1.5,4.2,"{'Na': '0.67', 'Mn': '0.4', 'Co': '0.2', 'Ni': '0.4', 'O': '2'}"
10.1016/j.apsusc.2022.155097,2023,P2-Na0.8Mn0.9Cu0.1O2,NCMO,900.0,12.0,Rate performance,,147.1,,,0.1,1.5,4.5,"{'Na': '0.8', 'Mn': '0.9', 'Cu': '0.1', 'O': '2'}"
